City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Stornoway,58.2093,-6.3865,54.93,78,71,5.75,GB,2022-07-30 20:06:14
140,San Cristobal,7.7669,-72.225,82.58,49,58,7.14,VE,2022-07-30 20:06:14
141,Keighley,53.8679,-1.9066,66.92,95,75,3.44,GB,2022-07-30 20:06:15
142,Barrow,71.2906,-156.7887,39.69,80,100,8.57,US,2022-07-30 20:06:15
143,Mar Del Plata,-38.0023,-57.5575,57.09,84,0,5.75,AR,2022-07-30 20:06:16
144,Goderich,43.7501,-81.7165,69.91,67,6,1.77,CA,2022-07-30 20:04:19
145,Port Hardy,50.6996,-127.4199,66.58,80,37,10.74,CA,2022-07-30 20:03:13
146,Zhangjiakou,40.81,114.8794,68.02,93,26,4.7,CN,2022-07-30 20:06:17
147,Flinders,-34.5833,150.8552,42.26,86,74,4.0,AU,2022-07-30 20:06:17
148,Mehamn,71.0357,27.8492,49.95,93,100,8.05,NO,2022-07-30 20:06:18
149,Torbay,47.6666,-52.7314,69.28,93,100,11.5,CA,2022-07-30 20:03:19
150,Awjilah,29.1081,21.2869,87.73,26,0,13.8,LY,2022-07-30 20:06:19
151,Xixiang,35.1628,112.865,75.29,88,0,2.28,CN,2022-07-30 20:06:21
152,Mount Gambier,-37.8333,140.7667,51.69,52,100,13.78,AU,2022-07-30 20:06:21
153,Rio Gallegos,-51.6226,-69.2181,48.25,46,40,21.85,AR,2022-07-30 20:06:22
154,Adrar,20.5022,-10.0711,94.42,31,73,9.91,MR,2022-07-30 20:06:22
155,Saldanha,-33.0117,17.9442,52.65,79,22,7.81,ZA,2022-07-30 20:06:23
156,Aurillac,44.9167,2.45,74.28,50,0,5.75,FR,2022-07-30 20:06:24
157,Jacareacanga,-6.2222,-57.7528,95.58,27,80,0.81,BR,2022-07-30 20:06:31
158,Kiruna,67.8557,20.2251,56.32,54,50,5.75,SE,2022-07-30 20:06:32
159,Castlecomer,52.8061,-7.2106,65.12,93,100,2.48,IE,2022-07-30 20:06:32
160,Porto Novo,6.4965,2.6036,75.43,80,60,8.39,BJ,2022-07-30 20:06:33
161,Saint-Gaudens,43.0833,0.6667,71.02,62,67,1.92,FR,2022-07-30 20:06:33
162,Saint-Francois,46.4154,3.9054,76.44,41,0,3.44,FR,2022-07-30 20:06:33
163,Sawakin,19.1059,37.3321,92.57,46,7,1.12,SD,2022-07-30 20:06:34
164,Ahome,25.9167,-109.1833,91.35,56,83,7.45,MX,2022-07-30 20:06:19
165,Tezu,27.9167,96.1667,75.79,98,100,2.75,IN,2022-07-30 20:06:34
166,La Palma,33.8464,-118.0467,97.66,60,0,8.05,US,2022-07-30 20:06:36
167,Santa Isabel Do Rio Negro,-0.4139,-65.0192,82.85,76,90,2.01,BR,2022-07-30 20:06:37
168,Whakatane,-37.9585,176.9854,51.78,77,39,12.97,NZ,2022-07-30 20:06:38
169,Ahipara,-35.1667,173.1667,53.28,75,30,18.99,NZ,2022-07-30 20:06:39
170,Sahuaripa,29.05,-109.2333,90.45,49,16,3.87,MX,2022-07-30 20:06:40
171,Butka,56.7179,63.7866,65.25,74,96,6.11,RU,2022-07-30 20:06:40
172,Moron,-34.6534,-58.6198,69.01,49,28,4.21,AR,2022-07-30 20:06:41
173,Caravelas,-17.7125,-39.2481,75.42,80,0,4.05,BR,2022-07-30 20:06:41
174,Havelock,34.8791,-76.9013,91.36,87,100,1.01,US,2022-07-30 20:06:42
175,Faya,18.3851,42.4509,66.72,55,53,4.18,SA,2022-07-30 20:06:43
176,Jutai,-5.1833,-68.9,84.9,62,99,1.36,BR,2022-07-30 20:06:43
177,Verkhnevilyuysk,63.4453,120.3167,59.77,95,4,2.39,RU,2022-07-30 20:06:43
178,Mogadishu,2.0371,45.3438,76.28,84,100,18.5,SO,2022-07-30 20:06:54
179,Kuzino,57.0224,59.4412,63.18,69,92,0.89,RU,2022-07-30 20:06:55
180,Chuy,-33.6971,-53.4616,56.46,70,0,1.79,UY,2022-07-30 20:06:55
181,Jalu,29.0331,21.5482,89.64,16,0,7.87,LY,2022-07-30 20:06:56
182,Buala,-8.145,159.5921,79.3,83,49,7.56,SB,2022-07-30 20:06:56
183,Ulaangom,49.9811,92.0667,66.2,53,87,2.21,MN,2022-07-30 20:06:56
184,Hirara,24.8,125.2833,84.38,77,100,5.08,JP,2022-07-30 20:06:57
185,Pietarsaari,63.65,22.6833,56.89,76,100,7.74,FI,2022-07-30 20:06:57
186,Poum,-20.2333,164.0167,71.31,78,97,31.54,NC,2022-07-30 20:06:58
187,Woodward,36.4337,-99.3904,83.43,69,75,6.91,US,2022-07-30 20:06:58
188,Coihaique,-45.5752,-72.0662,44.55,53,0,5.75,CL,2022-07-30 20:07:00
189,Ornskoldsvik,63.2909,18.7153,56.35,76,82,2.3,SE,2022-07-30 20:07:00
190,Inhambane,-23.865,35.3833,66.94,76,1,8.84,MZ,2022-07-30 20:07:01
191,Cayenne,4.9333,-52.3333,85.08,12,22,3.44,GF,2022-07-30 20:07:01
192,Narsaq,60.9167,-46.05,61.02,77,12,7.83,GL,2022-07-30 20:07:01
193,Sassandra,4.95,-6.0833,73.98,83,37,7.4,CI,2022-07-30 20:07:03
194,Itamaraca,-7.7478,-34.8256,75.25,89,100,8.57,BR,2022-07-30 20:02:11
195,Mahon,39.8885,4.2658,79.36,61,0,5.75,ES,2022-07-30 20:07:04
196,Pontianak,-0.0333,109.3333,76.98,94,100,3.44,ID,2022-07-30 20:05:03
197,Vila Franca Do Campo,37.7167,-25.4333,75.61,71,38,4.9,PT,2022-07-30 20:07:06
198,Mazagao,-0.115,-51.2894,80.65,65,91,4.59,BR,2022-07-30 20:07:07
199,Tucuman,-26.8241,-65.2226,73.4,40,0,12.66,AR,2022-07-30 20:07:08
200,Portmore,17.9702,-76.8672,94.05,60,46,4.76,JM,2022-07-30 20:07:10
201,Baghmara,23.795,86.2085,86.56,62,100,6.13,IN,2022-07-30 20:07:10
202,Hambantota,6.1241,81.1185,79.39,85,100,16.22,LK,2022-07-30 20:07:11
