City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
588,Cabo San Lucas,MX,84.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
591,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
592,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
596,Umm Lajj,SA,83.53,scattered clouds,25.0213,37.2685,Moon light Furnished Units
598,Siverek,TR,79.27,clear sky,37.755,39.3167,Mercan Hotel
601,Jalu,LY,79.99,clear sky,29.0331,21.5482,صاحبة الفخامة
605,Marawi,PH,81.48,overcast clouds,7.9986,124.2928,Derogongan Residence
606,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
619,Roebourne,AU,75.92,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
620,Baruun-Urt,MN,80.29,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
621,Bethel,US,77.36,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
623,Bambanglipuro,ID,80.49,scattered clouds,-7.95,110.2833,Puri Brata
625,Cockburn Town,TC,81.91,clear sky,21.4612,-71.1419,Osprey Beach Hotel
638,Saint Anthony,US,82.18,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
641,Hithadhoo,MV,80.87,overcast clouds,-0.6,73.0833,Scoop Guest House
647,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
649,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
654,Sinyavskoye,RU,75.76,broken clouds,47.277,39.2789,
658,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
662,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
663,Marsh Harbour,BS,83.17,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
667,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
668,Kismayo,SO,75.42,clear sky,-0.3582,42.5454,Agan-Hotel
675,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
685,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
697,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
701,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
703,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
706,Atuona,PF,77.23,few clouds,-9.8,-139.0333,Villa Enata
707,Narasannapeta,IN,83.97,overcast clouds,18.4167,84.05,AVK events and catering
712,Hithadhoo,MV,80.87,overcast clouds,-0.6,73.0833,Scoop Guest House
